,Unnamed: 0,Unnamed: 0.1,Lex,Example,ConstrPattern,valid,args,mask_roberta,args_roberta
0,0,24,ассоциировать,"['Я всегда ассоциирую яркие краски с Югом .', 'С тех пор она ассоциировала шум мотора с надвигающейся бедой.']",Snom V Sacc с + Sins,Я всегда ассоциирую <extra_id_0> .,"['.', 'с.', 'с вами', 'с другими людьми', 'с', 'его с другими людьми']",Я всегда ассоциирую <mask> .,"[' их', ' это', ' с', ' себя', ' тебя', 'сь', ' его', ' так', 'ся', ' её']"
1,1,24,ассоциировать,"['Я всегда ассоциирую яркие краски с Югом .', 'С тех пор она ассоциировала шум мотора с надвигающейся бедой.']",Snom V Sacc с + Sins,С тех пор она ассоциировала <extra_id_0> .,"['сь с', 'сь с нее', 'сь с.']",С тех пор она ассоциировала <mask> .,"[' себя', ' с', ' меня', ' его', ' нас', ' их', ' это', ' со', ' её', ' тебя']"
2,2,786,поблагодарить,['Диссертант поблагодарил своих оппонентов за конструктивную критику.'],Snom V Sacc за + Sacc,Диссертант поблагодарил <extra_id_0> .,"['.', 'за помощь', ':', 'за', 'его за это', 'вас', 'за свой труд']",Диссертант поблагодарил <mask> .,"[':', ' за', '.', ' :', ' в', ' от', ' США', ' автора', '.', ' книгу']"
3,3,860,поблагодарить,"['Благодарить Бога о том, что он такой праведный']",Snom V Sacc о + Sloc,Благодарить <extra_id_0>,"['за БлагодарностьbailAnmeldægt <extra_id_55>cresгать <extra_id_56>তরা, <extra_id_11', '!háb <extra_id_55>ешьszolgьбаতরাसाहიყოდანაშაულ <extra_id_56> больш <extra_id_9>栏გმ <ex', 'спасибо <extra_id_55>-вгруппепостиобытиям. <extra_id', '. <extra_id_56> 一只 <extra_id_16> เล่น <extra_id_10>, <extra_id_35>... <extra_id_43> в <extra_id_11', 'спасибо <extra_id_55>-ч <extra_id_51> –он...инансовик, <extra_id_56> в <ex', 'ОтзывыстымиихПоказатьНасмотревыхКомментарии...Подробне', ':eszolg...\uefe8 | <extra_id_28>zionġġಂಶ锘Anmeld <extra_id_30> 0От', 'за  <extra_id_29> <extra_id_9>уланიდრಿಪ⸢02(08(65\\06(ismiss困り pomarруг <', ':e锘XzFfуланնոバット <extra_id_29> <extra_id_31> <extra_id_33> <extra_id_27>shine vulnerнукл', 'Благодаритьょうliveinternet锘landsk... <extra_id_56>ẹ/$_32-10 <extra_id_35>szolgrg']",Благодарить <mask>,"['!', ':', '.', ' Бога', '?', ' Россию', '...', ' надо', ' нельзя', ' Родину']"
4,4,6059,вдохновлять,['Любовь вдохновила его на подвиг.'],Snom V Sacc на + Sacc,Любовь вдохновила <extra_id_0> .,"['.', 'наших', 'на', 'и вдохновила', 'меня', 'на.', 'наших.']",Любовь вдохновила <mask> .,"[' меня', ' нас', ' его', ' их', ' тебя', ' её', '.', ' ее', ' всех', ' бы']"
5,5,6467,вдохновлять,['Он вдохновил измученных людей этой радостной вестью.'],Snom V Sacc Sins,Он вдохновил <extra_id_0> .,"['его на.', 'вас на прогулку', 'и сказал, что', 'вас', 'его на', 'его', 'и оставил отзыв']",Он вдохновил <mask> .,"[' меня', ' нас', ' тебя', ' их', ' ее', ' его', ' её', ' всех', ' вас', ' бы']"
6,6,6842,включить,"['Директор включил еще одного сотрудника в состав бригады .', 'Я прошу включить этот вопрос в повестку дня.', 'Необходимо включить в доклад еще несколько примеров .', 'Он предложил включить в договор пункт о научном сотрудничестве.']",Snom V Sacc в + Sacc,Директор включил <extra_id_0> .,"['.', 'и', 'новый', 'урок', ':', 'работу', 'в работу', 'в.']",Директор включил <mask> .,"[' свет', ' микрофон', ' двигатель', ' радио', ' телевизор', ' камеру', ' запись', ' его', ' питание', ' компьютер']"
7,7,10772,внедрить,"['Поставлена задача немедленно внедрять результаты теоретической науки в практику .', 'Колхоз успешно внедряет механизацию в сельское хозяйство.', 'Мы должны внедрить основные моральные принципы в сознание каждого человека.']",Snom V Sacc в + Sacc,Колхоз успешно внедряет <extra_id_0> .,"['и', 'новый', 'новые', 'в', 'в.', 'его в', 'свой']",Колхоз успешно внедряет <mask> .,"[' социализм', '.', ' ЕР', '!', ' трактор', ' систему', ' КПРФ', ' науку', '.', ' закон']"
8,8,11080,вносить,"['Новый начальник внес в работу страсть.', 'Рождение нового ребенка внесло в семью раздоры.', 'Я бы хотел внести ясность в этот вопрос.', 'Неожиданным ударом с флангов наши войска внесли замешательство в ряды противника.', 'Он во все вносит путаницу.', 'Этот человек обладал удивительным свойством вносить в любой коллектив разлад и смуту.']",Snom V Sacc в + Sacc,Новый начальник внес <extra_id_0> .,"['.', 'деньги', 'в нее денежные средства', 'в', 'на', 'бонусы', 'удар', 'еще', 'документы']",Новый начальник внес <mask> .,"[' изменения', ' предложение', ' залог', 'ения', ' присягу', ' ясность', 'ен', ' предложения', 'ет', 'ение']"
9,9,11080,вносить,"['Новый начальник внес в работу страсть.', 'Рождение нового ребенка внесло в семью раздоры.', 'Я бы хотел внести ясность в этот вопрос.', 'Неожиданным ударом с флангов наши войска внесли замешательство в ряды противника.', 'Он во все вносит путаницу.', 'Этот человек обладал удивительным свойством вносить в любой коллектив разлад и смуту.']",Snom V Sacc в + Sacc,Рождение нового ребенка внесло <extra_id_0> .,"['.', 'в', 'деньги', 'новые']",Рождение нового ребенка внесло <mask> .,"[' изменения', ' ясность', ' разнообразие', ' вклад', ' перемены', ' изменение', ' поправку', ' поправки', ' хаос', ' раскол']"
