	sentence	pair	agent_index	verb_index
0	Например в Финляндии запретили курить везде в общественных местах и к 2040 году страна обещает стать некурящей	страна обещает	13	14
1	У нас же во-первых сильное лобби со стороны табачных компаний которое препятствует принятию соответствующих законопроектов во-вторых даже при имеющемся законе о запрете курения в общественных местах и запрета на продажу сигарет несовершеннолетним никто их не соблюдает законы нарушаются постоянно и их работу никто не контролирует в-третьих по сравнению с активной пропагандой курения у нас напрочь отсутствует пропаганда отказа от курения и здорового образа жизни	законы нарушаются	36	37
2	Ну что ж может на первых этапах это и будет расцениваться как дискриминация для кого-то но это переходный этап имеющий целью здоровье развить возможно даже помочь кому-то дополнительным толчком чтоб сделал то что сам а хочет бросил уже курить наконец	этап имеющий	18	19
3	Поступай так чтобы твои наибольшие способности служили наибольшим потребностям других людей не помню кто это сказал но полностью с ним согласен	способности служили	5	6
4	Моя работа приносит мне не только моральное удовлетворение а еще и чуть-чуть финансовое	работа приносит	1	2
5	У меня была идея я создал сайт но сам бы ничего не смог	я создал	4	5
6	Теперь давайте по вопросу Я люблю работать в школе Не знаю даже сам почему но тянет в школу постоянно	Я люблю	4	5
7	Я буду но за 1500 к зарплате ежемесячно	Я буду	0	1
8	В общем пока что меня все устраивает	все устраивает	5	6
9	Недавно моя знакомая угостила меня салатом потрясающей свежести и легкости и при этом очень вкусным	знакомая угостила	2	3
10	Ты Рио не слушай он ездит как маньяк	он ездит	4	5
11	Шутка без смайлов шутка для тех кто понимает что смысл шутки не в смайлах	кто понимает	6	7
12	Майонез утяжеляет салаты убрать нафиг а добавить масло растительное лимонный сок чуть горчицы	Майонез утяжеляет	0	1
13	Правда есть один момент надо чуть подождать чтоб сухарики немного впитали в себя майонез и соус фасоли однако долго ждать не стОит сухарики размокнут и тогда уже будет не вкусно	сухарики размокнут	22	23
14	Еще я люблю делать такой салат Грудка куриная отварная иногда заменяю ее на морской коктейль тоже вкусно получается	я люблю	1	2
15	Всё порезать и смешать заправить сметанным соусом а-ля Цезарь сметану посолить добавить чеснок давленный и специи по вкусу я использую приправу для овощных салатов готовую в пакетике	я использую	18	19
16	А-ля греческий Брынзу я покупаю недорогую Парижскую бурёнку порезать смешать с резанным огурцом помидором и перцем заправить растительным маслом посыпать специями Для овощных салатов Мешать только после заправки так мягкая недорогая брынза меньше мнётся	я покупаю	3	4
17	Всё Нравится быстрота приготовления и отсутствие майонеза	Всё Нравится	0	1
18	О себе сначала жутко не нравилось нет друзей еще и училась в другом городе т е родные далеко	т е	14	15
19	Когда я была в детском саду хотела поскорее в школу	я была	1	2
20	Теперь я работаю и снова хочу в детский сад хотя бы на тихий час	я работаю	1	2
21	Сплю и вижу когда же я закончу эту долбанную школу	я закончу	5	6
22	ее я ненавижу всеми жилами в своем организме	я ненавижу	1	2
23	Для меня универ был просто золотым временем	универ был	2	3
24	Там где нас нет Т е если учишься в универе то думаешь что в школе лучше и наоборот	Т е	4	5
25	С сожалением понимаю что это мой последний год в ВУЗе и частенько грущу по этому поводу Так же проверила на себе золотое правило Сначала ты работаешь на зачетку потом она на тебя	ты работаешь	24	25
26	10000 правда Можете пожалуйста аргументировать что это значит просто я в 10 классе учусь и через год мне будет очень полезна эта информация	это значит	6	7
27	Данная статья получилась достаточно критичной в отношении Михаила Прохорова не в силу предвзятости меня как автора но ввиду неубедительности приведенных выше аргументаций Михаила Прохорова по вопросу необходимости увеличения рабочего времени до 60 часов в неделю	статья получилась	1	2
28	Дмитрий Вы понимаете что государство все свои обязанности взвалило на плечи бизнеса	Вы понимаете	1	2
29	Я понимаю что государство последние 20 лет избавляется от своих невыгодных и обременительных обязанностей особенно в социальной сфере	Я понимаю	0	1
30	Но я прекрасно понимаю что и бизнес старается избавиться от своих обязанностей конечно нужно учитывать огромное налоговое бремя для перерабатывающих предприятий в отличии от добывающих предприятий и финансово банковской системы	бизнес старается	6	7
31	Я вижу её прекрасных женщин их лица печальны	Я вижу	0	1
32	Возможный и приемлемый вариант для тех кто умеет что-то делать	кто умеет	6	7
33	Начиная от низкого социального статуса и дыры в кармане и заканчивая физиологической неспособность осуществлять определенную деятельность из-за особенностей развития организма	неспособность осуществлять	12	13
34	Если государство не занимается и не способствует развитию личности а бизнес спихивает с себя всю ответственность то как эта личность должна развиваться	бизнес спихивает	10	11
35	ПОЕЗД ПОД НАЗВАНИЕМ ДЕТСТВО ПРИБЫЛ НА СТАНЦИЮ ВОКЗАЛ	ДЕТСТВО ПРИБЫЛ	3	4
36	Кто выплыл молодец кто нет ну и х.. с ним	Кто выплыл	0	1
37	В 1996 году повесть была опубликована в журнале Октябрь	повесть была	3	4
38	Повесть была удостоена премии журнала Октябрь за 1996 год номинировалась на премию Букер и в начале 2003 года вышла самостоятельным изданием в серии Современная библиотека для чтения издательства МК-периодика	Повесть была	0	1
39	Слышал что при такой температуре лучше всего размножается одна тропическая водоросль но на водоросль я был похож мало а размножаться не собирался	я был	14	15
40	бодро кричу я снимая на ходу рейтузы из стопроцентной шерсти но путаюсь в них и падаю	я снимая	2	3
41	Я смутно понимал что значит отыграюсь и почему-то решил что бабушка утопит меня в ванне	бабушка утопит	10	11
42	С этой мыслью я побежал к дедушке	я побежал	3	4
43	Услышав мое предположение дедушка засмеялся но я все-таки попросил его быть настороже	дедушка засмеялся	3	4
44	Я жил в США несколько лет сейчас вот стараюсь регулярно ездить летом благо друзья там имеются	Я жил	0	1
45	Язык учится быстро и легко именно методом погружения	Язык учится	0	1
46	А как это вы жили в Америке несколько лет	вы жили	3	4
47	Я где-то на форуме уже писала что из всей группы только те дети что занимались по методу Илоны Давыдовой так и не смогли заговорить	что занимались	13	14
48	Поездка была строго говоря не языковая а познавательная музеи и пр	Поездка была	0	1
49	Очень приятно А вы откуда если секрет напишите ЛС Написала в личку чтобы флуда не было	секрет напишите	6	7
50	А потом нагрянул кризис и я оказалась в школе так что с английский у меня на очень хорошем уровне иногда во сне на нем говорю	я оказалась	5	6
51	Я в 2008 году ездила на Мальту для обучения Это было супер Еще хочу съездить	Это было	9	10
52	Еще хочу съездить Я знаю несколько языков В школе преподаю английский	Я знаю	3	4
53	Отчасти завидую Я жила в США 6 месяцев Училась и работала в одно и то же время	Я жила	2	3
54	Приехал миллионер к своей первой любви и тут понеслось сын влюбился в дочку ее сожителя Олю а Оля тем временем собирается выйти замуж за Колю сына первой любви Смирнова которого ждала из армии	сын влюбился	9	10
55	Я думаю что он не плохой не пустой человек а простой рабочий парень коих и в наши дни достаточно только очень уж приземленный	Я думаю	0	1
56	Он из породы не мечтающих не думающих о лучшем довольствующихся тем что есть	что есть	11	12
57	Очень выразительно его показывает сцена в гостинице когда миллионер Смирнов предлагает Выбирай что делать хочешь что нужно	Смирнов предлагает	9	10
58	Еще тут есть девушка Вера ожидающая своего любимого который стал известным музыкантом и обещал ей вернуться к ней через год	Вера ожидающая	4	5
59	Есть жена алкоголика мечтающего только о том чтобы муж пить бросил	муж пить	8	9
60	И не только у них но и у всех нас ВСЕ БУДЕТ ХОРОШО	ВСЕ БУДЕТ	10	11
61	Дотоле не замеченный в биографических драмах режиссер чья карьера вымощена блокбастерами умудрился и на таком сюжете сделать кассовый хит в шесть раз перекрыв бюджет фильма	карьера вымощена	8	9
62	На этот раз а это случается не так часто фильм действительно достоин хороших сборов	это случается	4	5
63	Люди оценили долларом не банальное попкорн-муви а искусно поставленную картину с лихо закрученным сюжетом	Люди оценили	0	1
64	Впрочем кино получилось по-Спилберговски затянутым аж на 2,5 часа	кино получилось	1	2
65	Интересный сюжет качественная постановка превосходный актерский дуэт Ди Каприо противостоит в роли агента ФБР сам Том Хэнкс довольно интересная операторская работа Советую к просмотру тем кто не ориентирован на спецэффекты	работа Советую	20	21
66	Где-то мы выкручиваемся преуспеваем благодаря вранью даже сами себе мы зачастую врем	мы выкручиваемся	1	2
67	Одни люди используют ложь во благо другие в плохих а то и вообще опасных целях	люди используют	1	2
68	Я мечтал в детстве о велике но моя мама мне велик не покупала оттого что была убеждена будто на велике я непременно попаду под машину	Я мечтал	0	1
69	Как же я был счастливо волен на потрепанной Десне преодолевая путь от станции метро Войковская до Красной площади	я был	2	3
70	Приходилось прогуливать все уроки и сильно рисковать учеба давалась мне с таким трудом что строгая дама завуч неоднократно предлагала маме сводить меня к детскому психиатру	учеба давалась	7	8
71	Велик мне до армии так и не купили а после армии на меня стали обращать внимание барышни а их на велике далеко не увезешь и я начал покупать мотоциклы в заключение я и вовсе приобрел машину	я начал	25	26
72	И после всего упомянутого первый раз я сел на велик лет в тридцать пять	я сел	6	7
73	С того времени я принялся как подорванный скупать самые по мнению продавцов хорошие велики и носиться на них по Первопрестольной	я принялся	3	4
74	Супруга и взрослая часть выводка то и дело отбирали у меня мои велики и я покупал еще лучше	я покупал	14	15
75	Уже давно известно что фосфаты содержащиеся в синтетических моющих средствах при попадании в водные объекты способствуют увеличению численности водорослей	фосфаты содержащиеся	4	5
76	Вы можете подумать что вас это не касается и даже рассмеяться и сказать какая разница сколько водорослей в водоеме	Вы можете	0	1
77	Представьте что каждый из вас стирает моет пол посуду занимается другими хозяйственными делами при этом все сточные воды сбрасываются в водоем	воды сбрасываются	17	18
78	А теперь отстранитесь от этого и представьте что сейчас лето жаркий июльский день и вы решили сходить искупаться к ближайшему водоему	вы решили	14	15
79	А после отличного отдыха вы замечаете на своем теле покраснения зуд раздражение	вы замечаете	4	5
80	Я считаю что если бы каждый из нас задумывался о вреде синтетических моющих средств то проблем с экологией было бы гораздо меньше	Я считаю	0	1
81	А какие альтернативные моющие средства из натуральных компонентов вы можете назвать	вы можете	8	9
82	Все курильщики знают что курить вредно но продолжают это делать	курильщики знают	1	2
83	Все знают что сорить плохо но с завидным постоянством продолжают забивать мир отходами с длительным периодом полураспада	Все знают	0	1
84	Шоу проходило в Лужниках и называлось Цирк дю Солей Программа поразила своим размахом Я не специалист в этой области но могу сказать что это современная совершенно новая и свежая интерпретация циркового искусства хотя персонажи вроде бы все те же акробаты гимнасты клоуны	Программа поразила	9	10
85	Уверен что кто-то попросит рассказать обо всем поподробнее но умышленно не стану этого делать	кто-то попросит	2	3
86	Ну все я побежал до Нового года еще обязательно выйду на связь P S На этот раз уж извините без фоток фотографирование в цирке не приветствуется	я побежал	2	3
87	Я бы тоже не отказалась сходить с такой цирк мне друг рассказывал как это здорово думаю у меня все впереди	друг рассказывал	10	11
88	Я читала про Цирк дю Солей это и правда нечто особенное	Я читала	0	1
89	А вы слушаете мюзиклы или рок-оперы Игорь	вы слушаете	1	2
90	Души ещё не зазвенели струны Спит в ожиданье матча стадион	струны Спит	4	5
91	В нём парадоксы и сюрпризы есть И высшей справедливости моменты	сюрпризы есть	4	5
92	Уэсли Снайпс являющийся посредственным актером на удивление оказался просто идеальным Блэйдом	Снайпс являющийся	1	2
93	Когда-то в кровь Блэйда попало совсем немного вампирского яда но с течением времени он стал ощущать неизбежность своего превращения	он стал	13	14
94	Желая избавить людей от тайной и могущественной армии вампиров заполонившей общество он отправляется на решающий бой	он отправляется	11	12
95	Стивен Норингтон слепил невероятно качественную картину и дал жизнь целому франчайзу	Норингтон слепил	1	2
